time (sec),AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: AF Queue lenth(bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: AF Queue lenth(bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: AF Queue lenth(bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: BE Queue lenth(bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: BE Queue lenth(bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: BE Queue lenth(bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: EF Delay Variance ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: EF Delay Variance ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: EF Delay Variance ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: EF Queue lenth(bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: EF Queue lenth(bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: EF Queue lenth(bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.main_process.Cycle_time ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.main_process.Cycle_time ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.main_process.Cycle_time ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.rx.channel [0].point-to-point receiver.throughput (bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.rx.channel [0].point-to-point receiver.throughput (bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.rx.channel [0].point-to-point receiver.throughput (bits/sec) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.AF ete delay ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.AF ete delay ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.AF ete delay ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.BE ete delay ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.BE ete delay ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.BE ete delay ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.EF ete delay ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.EF ete delay ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.EF ete delay ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_10percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.Total End-to-End Delay (seconds) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_20percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.Total End-to-End Delay (seconds) ,AndrewFP_32ONU_extra_OLT_with_1548020_3fault-EPON_IPACT_30percent_faulty-DES-1: Campus Network.WDM EPON IPACT single 32.sink.Total End-to-End Delay (seconds) 
5,329.7206221,776.8529249,1306.580414,275.3830741,601.4823768,1056.197679,0.002860153,0.003956561,0.005674064,68.47586346,157.0511164,273.0962186,0.000173121,0.000186654,0.000236466,5006869.32,8006733.398,10908841.75,0.000269317,0.000302524,0.000348053,0.00026905,0.00030826,0.000352429,0.000261357,0.000297311,0.000338533,0.000264805,0.000300708,0.000343553
5.001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00016929,0.000203839,0.000249067,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000171105,0.000203924,0.000243533,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000171485,0.000201762,0.000239736,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000172143,0.000204993,0.000236502,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000173653,0.000207791,0.00023513,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000173923,0.000205861,0.00023334,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000173676,0.000204909,0.000233425,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000174728,0.000204533,0.000230732,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000175202,0.00020571,0.000229517,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000174532,0.000207171,0.000230191,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000174879,0.000207292,0.000229647,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000175126,0.000206903,0.000231802,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5.013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000174596,0.00020487,0.000233123,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
